Room_name,,Window_width,Window_height,Distance_to_edges_mi,Distance_to_edges_mean,Distance_to_edges_ma,Distance_to_next_win_min
Breakout space,mean,1.0999999999999988,2.4999999999999973,0.6000000000000001,3.106444444444444,6.825555555555556,1.741
Breakout space,min,1.099999999999999,2.499999999999997,0.05,2.6495,4.1,1.741
Breakout space,max,1.099999999999999,2.499999999999997,0.708,3.6745,11.38,1.741
Confidential meetings room,mean,0.9099999999999996,2.4999999999999973,0.6924,1.8304999999999998,3.1980000000000004,0.15119999999999997
Confidential meetings room,min,0.6249999999999998,2.499999999999997,0.63,1.3095,2.53,0.0
Confidential meetings room,max,1.099999999999999,2.499999999999997,0.708,2.0845,4.47,0.256
Enclosed office,mean,1.0436440677966092,2.499999999999997,0.6102033898305084,1.9622542372881357,3.4176271186440683,1.1180847457627119
Enclosed office,min,0.6249999999999998,2.499999999999997,0.05,1.452,2.53,0.0
Enclosed office,max,1.099999999999999,2.499999999999997,0.708,2.3545,5.13,1.741
Meeting room,mean,1.0817307692307685,2.499999999999997,0.6273461538461537,3.1893557692307684,7.11076923076923,1.7303076923076923
Meeting room,min,0.6249999999999998,2.499999999999997,0.0,2.8095,4.1,1.602
Meeting room,max,1.099999999999999,2.499999999999997,0.708,3.827,12.0,1.741
Open office,mean,1.099999999999999,2.499999999999997,0.6819999999999999,1.937,3.2466666666666666,1.741
Open office,min,1.099999999999999,2.499999999999997,0.63,1.937,2.53,1.741
Open office,max,1.099999999999999,2.499999999999997,0.708,1.937,3.88,1.741
